Brand,Best CV RMSE,Mean CV RMSE,Test RMSE,Test R2,Generalization Error (CV to Test) %,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,feature_combinations,Seed,k-fold cross-validation
Volkswagen,3509.820094984193,5295.490751567701,3390.999436097664,0.9288344771234567,-35.96439697125754,620,27,4,2,0.7000000000000001,10,125,5
Peugeot,2366.4456963346,3142.3007764098097,2877.3606184265313,0.9084827309592728,-8.431406693218651,620,27,4,2,0.7000000000000001,10,125,5
Mercedes-Benz,15682.2490719487,20377.39396941584,11763.650836394985,0.8351636770081157,-42.271073258676296,797,33,7,3,0.4,2,125,5
Ford,3825.1261898551393,5402.325372020057,4558.352882520192,0.8696760470192273,-15.62239279164861,671,33,11,1,0.6,7,125,5
BMW,8442.810394422404,11990.304953420775,6818.59529944443,0.9364151054647958,-43.13242802470076,620,27,4,2,0.7000000000000001,10,125,5
Opel,3126.434993820222,3644.3691268711336,2463.862756171562,0.8963110118078579,-32.392612537388416,671,33,11,1,0.6,7,125,5
Audi,9484.883183560542,15162.999553151762,7302.183820096081,0.9403588220899852,-51.842089063583344,620,27,4,2,0.7000000000000001,10,125,5
Renault,3377.893237906598,4206.165737657415,2523.9375818288636,0.9211703392817939,-39.99433832974572,620,27,4,2,0.7000000000000001,10,125,5
Toyota,3291.9128527830812,4868.273620474504,3201.0533835378224,0.9186290416564202,-34.246641970263376,671,33,11,1,0.6,7,125,5
Volvo,4070.6290949988515,6357.358472339002,3842.600974508423,0.9533868690280849,-39.55664146944586,620,27,4,2,0.7000000000000001,10,125,5
