Brand,Best CV RMSE,Mean CV RMSE,Test RMSE,Test R2,Generalization Error (CV to Test) %,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,ccp_alpha,Seed,k-fold cross-validation
Volkswagen,3362.375235,6094.706774,3263.005916,0.934105384,-46.46164226,284,17,3,1,0.4,0.059143669,125,5
Peugeot,2400.875282,3751.767398,2755.260369,0.91608497,-26.56100242,284,17,3,1,0.4,0.059143669,125,5
Mercedes-Benz,15535.66258,22294.83398,11165.66729,0.851496041,-49.91814112,284,17,3,1,0.4,0.059143669,125,5
Ford,3504.384649,5925.484987,4315.665038,0.8831836,-27.16773316,284,17,3,1,0.4,0.059143669,125,5
BMW,7817.637688,13754.36991,6576.471398,0.940850647,-52.18631285,284,17,3,1,0.4,0.059143669,125,5
Opel,3060.60355,4133.853598,2438.387658,0.898444111,-41.01417479,284,17,3,1,0.4,0.059143669,125,5
Audi,9095.386421,16635.2472,6883.328677,0.947004657,-58.62202351,284,17,3,1,0.4,0.059143669,125,5
Renault,3299.598178,4779.721034,2448.581448,0.925807237,-48.77145694,284,17,3,1,0.4,0.059143669,125,5
Toyota,3587.223436,5620.147667,2995.370415,0.928750033,-46.70299444,671,26,11,1,0.6,0.006584133,125,5
Volvo,3958.742906,7693.685017,3555.253021,0.960097627,-53.78998473,284,17,3,1,0.4,0.059143669,125,5
