Brand,Best CV RMSE,Mean CV RMSE,Test RMSE,Test R2,Generalization Error (CV to Test) %,n_estimators,max_depth,subsample,colsample_bytree,min_child_weight,Seed,k-fold cross-validation
Volkswagen,3427.673650588016,5195.9142367419145,3301.9791321967064,0.9325218980531303,-36.45046893100367,518,28,0.8795029236178585,0.6624809598108906,1,125,5
Peugeot,2351.17414467258,3321.563425400562,2786.6500681923953,0.9141620507918053,-16.104264429141807,688,11,0.7799343615336172,0.8091055991594739,1,125,5
Mercedes-Benz,15580.809305816114,19328.577589310677,12107.426404246013,0.8253887011529197,-37.359972050184346,744,12,0.5331975032479684,0.8360272402212359,2,125,5
Ford,3394.9774995881353,5098.437428433541,4332.958296169747,0.8822455368094493,-15.013994836825564,688,11,0.7799343615336172,0.8091055991594739,1,125,5
BMW,7830.402221639808,11762.588375619973,6474.671069617422,0.9426676760959546,-44.955388534743655,688,11,0.7799343615336172,0.8091055991594739,1,125,5
Opel,3076.74165029522,3809.9202187653163,2370.6305592649305,0.9040096957925238,-37.77742254053859,688,11,0.7799343615336172,0.8091055991594739,1,125,5
Audi,8900.229697316663,13627.399822136184,6429.261552298523,0.9537658500520706,-52.821069050495545,475,24,0.929190253285167,0.7086444292396217,2,125,5
Renault,3294.140637295545,4217.310763429171,2499.499968436369,0.9226894598156365,-40.732374049571334,475,24,0.929190253285167,0.7086444292396217,2,125,5
Toyota,3350.1427323329763,4884.030027902689,3752.4074645025844,0.88818409592335,-23.169852702278497,957,24,0.8341271516397137,0.9809680066983084,2,125,5
Volvo,3914.527871369866,5956.659966238898,3538.3150691936617,0.960476927216644,-40.59900868526841,688,11,0.7799343615336172,0.8091055991594739,1,125,5
